,renewables_electricity,renewables_consumption
256,14.339,41.174
257,15.857000000000001,45.183
258,17.139,48.096000000000004
259,18.765,52.273
260,0.002,
261,0.002,
262,0.002,
263,0.002,
264,0.001,
265,0.001,
266,0.005,
267,0.004,
268,0.004,
269,0.002,
270,0.002,
271,0.002,
272,0.002,
273,0.003,
274,0.003,
275,0.006999999999999999,
276,0.01,
277,0.006,
278,0.005,
279,0.005,
280,2.0069999999999997,
281,2.162,
282,2.235,
283,2.021,
284,2.1830000000000003,
285,2.001,
286,2.195,
287,2.358,
288,2.384,
289,2.394,
290,2.24,
291,2.412,
292,2.4130000000000003,
293,2.6039999999999996,
294,2.33,
295,2.659,
296,1.926,
297,2.421,
298,2.968,
299,3.748,
300,5.043,
301,5.129,
302,5.215,
303,4.456,
304,5.919,
305,5.938,
306,5.797999999999999,
307,3.9610000000000003,
308,4.8180000000000005,
309,6.1770000000000005,
310,7.9460000000000015,
311,4.343999999999999,
312,4.1739999999999995,
313,7.165,
314,5.8770000000000024,
315,5.496,
316,5.6110000000000015,
317,3.78,
318,6.4860000000000015,
319,6.315,
320,0.0,
321,0.0,
322,0.0,
323,0.0,
324,0.0,
325,0.0,
326,0.0,
327,0.0,
328,0.0,
329,0.0,
330,0.0,
331,0.0,
332,0.001,
333,0.002,
334,0.003,
335,0.003,
336,0.005,
337,0.005,
338,0.005,
339,0.005,
340,309.205,935.077
341,274.212,828.2610000000003
342,293.51099999999997,885.029
343,314.515,933.972
344,330.126,979.0369999999999
345,347.76599999999996,1027.529
346,360.277,1050.047
347,388.945,1150.505
348,386.515,1174.049
349,410.918,1245.798
350,432.92900000000003,1307.614
351,459.191,1354.0179999999998
352,451.89099999999996,1319.12
353,434.42900000000003,1292.25
354,428.619,1288.307
355,427.281,1312.795
356,461.61300000000006,1372.8339999999996
357,462.93800000000016,1378.9470000000001
358,490.92800000000005,1476.014
359,511.05300000000005,1550.999
360,2.6310000000000002,7.425
361,1.651,4.794
362,2.116,6.016
363,2.995,8.252
364,3.14,8.579
365,4.302,11.679
366,4.2330000000000005,11.380999999999998
367,2.877,7.758999999999999
368,2.93,7.819
369,3.679,9.754
370,5.763,15.091
371,3.889,10.197000000000001
372,5.278,13.720999999999998
373,6.8820000000000014,17.734
374,7.385,18.804000000000002
375,8.76,22.176
376,7.045,17.872
377,6.131,15.328
378,9.3,23.114
379,7.172999999999999,19.101
380,0.047,
381,0.031,
382,0.03,
383,0.049,
384,0.042,
385,0.059000000000000004,
386,0.065,
387,0.065,
388,0.062,
389,0.057999999999999996,
390,0.055,
391,0.07400000000000001,
392,0.535,
393,1.02,
394,1.8530000000000002,
395,2.021,
396,2.638,
397,2.763,
398,4.77,
399,4.119,
400,3.408,
401,3.4389999999999996,
402,3.15,
403,3.4930000000000003,
404,3.8810000000000002,
405,3.734,
406,4.496,
407,3.885,
408,4.2669999999999995,
409,4.047,
410,4.277,
411,4.417,
412,4.2810000000000015,
413,4.402,
414,4.408,
415,4.36,
416,4.378,
417,5.093,
418,5.032,
419,5.401,
420,363.46,1016.55
421,338.9840000000001,942.567
422,356.55800000000005,986.408
423,344.009,943.363
424,347.244,945.185
425,369.001,1002.4639999999999
426,360.582,978.8380000000001
427,375.434,1014.5830000000001
428,384.642,1036.06
429,381.463,1017.943
430,368.92699999999996,976.253
431,394.43300000000005,1043.347
432,401.106,1056.945
433,419.705,1083.888
434,414.21,1057.682
435,417.339,1088.454
436,426.154,1104.927
437,437.096,1123.138
438,429.615,1098.915
439,423.82,1091.247
440,20.494,56.821999999999996
441,22.868000000000002,64.495
442,23.993000000000002,68.48
443,23.271,66.21600000000001
444,23.796999999999997,62.276
445,28.015,73.62899999999998
446,30.276,79.26100000000002
447,25.604,66.518
448,27.072,73.62899999999998
449,29.396,75.16199999999998
450,24.22,66.48100000000001
451,25.948,65.207
452,25.24,68.39699999999999
453,26.0,70.036
454,30.061999999999998,76.186
455,32.368,82.62799999999999
456,33.801,79.002
457,34.374,90.741
458,37.507,102.47399999999999
459,36.44,105.104
460,32.255,86.98200000000001
461,31.982,88.67399999999998
462,34.125,94.49700000000001
463,36.314,99.92299999999999
464,40.202,105.186
465,39.964,107.01899999999999
466,42.915,115.39
467,44.589,119.09
468,46.537,123.47200000000001
469,41.246,110.103
470,42.46100000000001,109.036
471,50.43600000000001,129.541
472,49.122,126.874
473,50.87300000000001,117.559
474,48.817,118.838
475,49.53,118.24
476,50.12600000000001,123.199
477,62.263999999999996,148.726
478,60.855,146.614
479,55.496,133.554
480,0.292,
481,0.331,
482,0.392,
483,0.33899999999999997,
484,0.327,
485,0.35100000000000003,
486,0.368,
487,0.332,
488,0.371,
489,0.327,
490,0.426,
491,0.7829999999999999,
492,0.977,
493,0.961,
494,0.9420000000000001,
495,1.088,
496,1.117,
497,1.192,
498,1.228,
499,1.274,
500,6.7929999999999975,
501,6.784,
502,7.3039999999999985,
503,7.138,
504,7.901,
505,7.902,
506,8.084,
507,8.251,
508,8.724,
509,8.788,
510,8.87,
511,8.894,
512,9.273,
513,8.97,
514,9.107000000000001,
515,10.623,
516,10.610999999999999,
517,11.184000000000001,
518,11.258,
519,11.296,
520,6.454,17.928
521,7.18,19.817999999999998
522,5.851,16.043
523,5.4579999999999975,14.87
524,7.632999999999999,20.663
525,7.06,18.991
526,6.647,17.767
527,4.742,12.595999999999998
528,5.841,15.421
529,7.487999999999999,19.645
530,9.298,24.243000000000002
531,5.287000000000001,13.706
532,5.2620000000000005,13.554
533,9.276,23.747
534,9.936,25.289
535,7.508999999999999,18.999000000000002
536,8.363,21.034000000000002
537,7.1160000000000005,17.789
538,9.781,24.31
539,8.298,20.343
540,1.033,
541,1.005,
542,1.045,
543,0.848,
544,0.877,
545,0.488,
546,0.5,
547,0.5379999999999999,
548,0.711,
549,0.7040000000000001,
550,0.563,
551,0.574,
552,0.6829999999999999,
553,0.8320000000000001,
554,0.777,
555,0.8009999999999999,
556,0.809,
557,0.785,
558,0.757,
559,0.706,
560,0.0,0.0
561,0.0,0.0
562,0.0,0.0
563,0.0,0.0
564,0.001,0.002
565,0.001,0.002
566,0.002,0.004
567,0.004,0.009000000000000001
568,0.013999999999999999,0.040999999999999995
569,0.031,0.08199999999999999
570,0.073,0.19
571,0.17800000000000002,0.461
572,0.257,0.662
573,0.327,0.8370000000000001
574,0.317,0.809
