,fossil_prod_change_twh,solar_electricity,wind_electricity,hydro_electricity,biofuel_electricity,nuclear_electricity
786,0.0,0.012,2.1830000000000003,56.303999999999995,3.377,450.191
787,0.0,0.018000000000000002,4.07,57.604,3.7510000000000003,439.73
788,0.0,0.042,5.694,63.653999999999996,3.971,439.44699999999995
789,0.0,0.174,7.912000000000001,56.994,4.13,409.736
790,0.0,0.62,9.945,62.714,4.441,428.52099999999996
791,0.0,2.334,12.372,45.745,5.0360000000000005,442.38800000000003
792,0.0,4.428,15.177999999999999,59.832,5.256,425.406
793,0.0,5.194,16.127,71.922,5.537000000000001,423.685
794,0.0,6.391,17.324,63.773,5.909,436.47900000000004
795,0.0,7.752999999999999,21.421,55.556000000000004,6.522,437.42800000000005
796,0.0,8.658999999999999,21.381,60.839,7.535,403.195
797,0.0,9.585,24.609,50.00100000000001,7.766,398.35900000000004
798,0.0,10.569,28.599,65.285,8.335,412.94199999999995
799,0.0,12.569,33.599000000000004,57.285,8.335,398.94199999999995
840,-39.988,0.04,9.5,24.9,3.4,169.6
841,-26.880000000000003,0.1,10.5,23.2,5.2,171.3
842,1.4680000000000002,0.2,15.8,23.7,6.4,164.8
843,0.02799999999999958,0.3,19.2,17.7,8.9,165.1
844,-6.677,0.6,26.1,20.1,10.7,167.1
845,-27.322000000000003,1.3,27.9,19.6,14.7,163.0
846,-39.482,2.2,31.4,20.0,18.9,167.4
847,-1.343,3.1,40.5,21.2,24.6,140.5
848,-63.567,4.4,41.4,20.4,28.0,148.8
849,-51.702,6.6,39.538000000000004,19.0,30.8,134.9
850,-22.23,11.7,38.6,21.0,33.9,140.6
851,3.102999999999999,19.6,49.9,17.7,36.9,108.0
852,2.071999999999999,26.4,51.6,21.8,43.3,99.5
853,-39.411,31.0,52.7,23.0,45.5,97.3
854,-16.694,36.1,58.5,19.6,48.3,97.1
855,-20.95,38.7,80.6,19.0,50.4,91.8
856,-42.95099999999999,38.1,80.0,20.5,50.9,84.6
857,-7.997,39.4,105.7,20.2,51.0,76.3
858,-27.381,45.8,110.0,18.0,50.9,76.0
859,-90.06200000000001,46.4,125.9,19.7,50.2,75.1
988,-0.922,0.001,0.205,0.213,1.939,14.818
989,-1.599,0.001,0.331,0.228,2.335,15.425999999999998
990,0.433,0.001,0.534,0.188,2.296,15.761
991,0.607,0.001,0.626,0.222,1.859,15.685
992,-0.45299999999999996,0.008,0.77,0.213,1.655,15.793
993,0.061,0.025,0.718,0.213,1.8319999999999999,15.37
994,-0.276,0.067,0.657,0.301,2.126,15.649000000000001
995,-0.81,0.141,0.693,0.23399999999999999,2.161,15.834000000000001
996,-0.649,0.244,0.684,0.259,2.0709999999999997,16.054000000000002
997,-2.086,0.349,0.758,0.22,2.154,16.098
998,-0.139,0.62,0.607,0.222,2.292,15.732999999999999
999,2.67,1.371,0.754,0.242,2.359,16.287
1020,112.156,0.006999999999999999,1.6840000000000002,73.717,1.347,14.06
1021,23.367,0.012,2.241,72.96,1.82,18.235
1022,103.14699999999999,0.013999999999999999,2.687,67.735,1.84,17.76
1023,101.882,0.017,3.59,79.994,1.8630000000000002,16.37
1024,164.343,0.019,4.49,89.60700000000001,1.893,15.044
1025,83.55999999999999,0.019,6.603,97.404,1.923,17.745
1026,106.27700000000002,0.019,8.69,112.411,1.949,17.828
1027,153.999,0.059000000000000004,11.796,122.40700000000001,1.976,17.832
1028,220.017,0.063,13.700999999999999,115.006,9.557,15.231
1029,286.07000000000005,0.075,17.804000000000006,106.18799999999999,11.947000000000001,16.816
1030,224.019,0.113,19.66,111.37799999999999,14.673,23.081999999999997
1031,-45.596999999999994,0.8270000000000001,24.53,131.63299999999998,17.631,32.224000000000004
1032,-9.65700000000001,2.29,30.12,115.655,20.533,33.14
1033,-55.047,4.14,33.17,131.616,23.349,33.465
1034,132.889,5.85,37.34,130.328,25.545,34.747
1035,116.81599999999999,6.566,32.741,132.26,16.743,38.153
1036,7.102000000000004,11.556,43.453,128.611,15.655,37.884
1037,41.527,21.545,52.629,135.865,13.478,38.438
1038,213.31099999999998,36.330999999999996,60.31100000000001,141.33100000000005,16.148,38.12
1039,-48.951,46.273,63.308,161.741,14.68,45.163000000000004
1160,-4.998,0.34700000000000003,0.109,86.38,15.213,305.947
1161,0.449,0.475,0.252,83.324,15.297,303.865
1162,-11.73,0.669,0.415,81.554,16.54,280.339
1163,-0.20199999999999999,0.903,0.833,93.661,17.886,228.012
1164,0.004,1.189,1.31,93.12200000000001,18.183,268.32
1165,-1.4409999999999998,1.493,1.754,75.705,22.096,280.502
1166,1.578,1.794,2.21,86.649,22.315,291.5420000000001
1167,0.40700000000000003,2.015,2.6239999999999997,73.26899999999998,22.998,267.337
1168,-1.253,2.251,2.946,75.684,18.866,241.25400000000002
