,fossil_prod_change_twh,solar_electricity,wind_electricity,hydro_electricity,biofuel_electricity
352,6.140999999999999,0.006999999999999999,5.05,411.189,35.645
353,3.4389999999999983,0.005,6.58,387.082,40.762
354,161.583,0.016,12.21,369.705,46.688
355,109.60900000000001,0.059000000000000004,21.63,356.14599999999996,49.44600000000001
356,47.06900000000002,0.085,33.49,377.102,50.93600000000001
357,95.78000000000002,0.8320000000000001,42.37,367.19699999999995,52.538999999999994
358,-42.377,3.4610000000000003,48.475,385.08099999999996,53.911
359,135.935,6.655,55.986000000000004,393.898,54.513999999999996
369,-2.958,0.003,0.237,3.432,0.006999999999999999
370,3.938,0.015,0.6809999999999999,5.0310000000000015,0.035
371,14.716,0.10099999999999999,0.861,2.872,0.055999999999999994
372,-6.9620000000000015,0.8140000000000001,1.2209999999999999,3.178,0.066
373,-9.575,1.361,1.374,4.0360000000000005,0.11199999999999999
374,3.951,1.252,1.331,4.602,0.201
375,8.591000000000001,1.383,1.452,5.655,0.27
376,-8.713,1.386,1.425,3.88,0.354
377,6.7520000000000024,1.403,1.504,2.8280000000000003,0.396
378,-4.996,1.3430000000000002,1.318,5.147,1.492
379,-4.637,1.47,1.297,2.9360000000000004,1.469
420,166.476,0.016,0.264,354.92400000000015,8.226
421,45.321000000000005,0.019,0.337,329.986,8.612
422,21.611000000000004,0.022000000000000002,0.408,347.048,9.05
423,13.20999999999999,0.023,0.826,334.07099999999997,9.059
424,82.68599999999999,0.013000000000000001,0.9540000000000001,337.42699999999996,8.82
425,10.138000000000002,0.017,1.4709999999999999,358.301,9.182
426,94.723,0.021,2.5,349.32300000000015,8.718
427,13.751,0.026000000000000002,3.0239999999999996,363.909,8.455
428,-115.18299999999999,0.035,3.7060000000000004,373.676,7.21
429,-146.951,0.10300000000000001,6.641,364.964,7.807
430,57.04600000000002,0.253,8.637,347.871,9.162
431,124.21799999999999,0.5660000000000001,10.086,371.967,9.277999999999999
432,140.584,0.872,11.198,376.465,9.82
433,171.94900000000004,1.484,17.913,387.871,9.981
434,244.38000000000002,2.099,22.315,378.676,8.866
435,66.88399999999999,2.866,26.697,378.37199999999996,9.252
436,150.85500000000002,3.992,30.623,381.57800000000003,9.764
437,246.29799999999997,3.5380000000000003,31.198,390.64099999999996,11.51
438,254.16400000000002,3.759,32.854,382.02,10.754000000000001
439,0.33500000000000796,4.272,30.531999999999996,377.97900000000004,10.865
453,0.0,0.008,0.5529999999999999,19.678,5.761
454,0.0,0.48,1.4409999999999998,22.814,5.327000000000001
455,0.0,1.238,2.112,23.403000000000002,5.615
456,0.0,2.59,2.4459999999999997,22.808000000000003,5.9570000000000025
457,0.0,3.843,3.516,20.889,6.062
458,0.0,5.122000000000001,3.583,22.899,5.689
459,0.0,6.136,5.086,20.665,4.352
464,27.931,0.006999999999999999,0.052000000000000005,39.676,0.467
465,47.37100000000001,0.006999999999999999,0.049,39.405,0.503
466,53.87499999999999,0.006999999999999999,0.063,42.315,0.53
467,36.828,0.006999999999999999,0.049,44.00100000000001,0.532
468,78.946,0.006999999999999999,0.054000000000000006,45.93899999999999,0.537
469,58.12100000000001,0.006999999999999999,0.057999999999999996,40.64,0.541
470,90.129,0.008,0.039,39.997,2.417
471,167.65800000000002,0.008,0.04,48.388999999999996,1.999
472,54.759,0.008,0.055,47.106,1.953
473,27.42,0.008,0.06,49.757,1.048
474,3.7940000000000005,0.009000000000000001,0.07,47.39100000000001,1.347
475,-22.142000000000003,0.009000000000000001,0.068,48.082,1.371
476,-27.94399999999999,0.009000000000000001,0.05,48.605,1.462
477,-17.994,0.013999999999999999,0.003,60.82,1.4269999999999998
478,-37.369,0.021,0.043,59.333,1.4580000000000002
479,0.7680000000000007,0.132,0.06,53.986999999999995,1.317
511,0.0,0.001,0.41,7.064,0.139
512,0.0,0.002,0.528,7.162000000000001,0.179
513,0.0,0.003,0.485,6.782,0.183
514,0.0,0.003,0.735,6.65,0.18100000000000002
515,0.0,0.003,1.08,7.9860000000000015,0.179
516,0.0,0.003,1.15,7.9460000000000015,0.172
517,0.0,0.004,1.288,8.59,0.184
518,0.0,0.055999999999999994,1.7990000000000002,8.26,0.17300000000000001
519,0.0,0.076,1.796,7.749,0.163
532,0.0,0.002,0.32899999999999996,4.837,0.094
533,0.0,0.011000000000000001,0.517,8.622,0.126
534,0.0,0.035,0.73,9.006,0.165
535,0.0,0.057,0.7959999999999999,6.391,0.265
536,0.0,0.066,1.014,6.852,0.431
537,0.0,0.079,1.204,5.307,0.526
538,0.0,0.075,1.335,7.7010000000000005,0.6679999999999999
539,0.0,0.078,1.4409999999999998,5.8660000000000005,0.836
550,0.0,0.002,0.01,0.096,0.455
551,0.0,0.002,0.02,0.098,0.45399999999999996
552,0.0,0.001,0.021,0.11,0.551
553,0.0,0.003,0.023,0.126,0.68
554,0.0,0.018000000000000002,0.019,0.10300000000000001,0.637
555,0.0,0.028999999999999998,0.021,0.048,0.703
556,0.0,0.039,0.021,0.063,0.6859999999999999
557,0.0,0.06,0.021,0.08199999999999999,0.622
