,fossil_prod_change_twh,solar_electricity,wind_electricity,hydro_electricity
434,244.38000000000002,2.099,22.315,378.676
435,66.88399999999999,2.866,26.697,378.37199999999996
436,150.85500000000002,3.992,30.623,381.57800000000003
437,246.29799999999997,3.5380000000000003,31.198,390.64099999999996
438,254.16400000000002,3.759,32.854,382.02
439,0.33500000000000796,4.272,30.531999999999996,377.97900000000004
453,0.0,0.008,0.5529999999999999,19.678
454,0.0,0.48,1.4409999999999998,22.814
455,0.0,1.238,2.112,23.403000000000002
456,0.0,2.59,2.4459999999999997,22.808000000000003
457,0.0,3.843,3.516,20.889
458,0.0,5.122000000000001,3.583,22.899
459,0.0,6.136,5.086,20.665
464,27.931,0.006999999999999999,0.052000000000000005,39.676
465,47.37100000000001,0.006999999999999999,0.049,39.405
466,53.87499999999999,0.006999999999999999,0.063,42.315
467,36.828,0.006999999999999999,0.049,44.00100000000001
468,78.946,0.006999999999999999,0.054000000000000006,45.93899999999999
469,58.12100000000001,0.006999999999999999,0.057999999999999996,40.64
470,90.129,0.008,0.039,39.997
471,167.65800000000002,0.008,0.04,48.388999999999996
472,54.759,0.008,0.055,47.106
473,27.42,0.008,0.06,49.757
474,3.7940000000000005,0.009000000000000001,0.07,47.39100000000001
475,-22.142000000000003,0.009000000000000001,0.068,48.082
476,-27.94399999999999,0.009000000000000001,0.05,48.605
477,-17.994,0.013999999999999999,0.003,60.82
478,-37.369,0.021,0.043,59.333
479,0.7680000000000007,0.132,0.06,53.986999999999995
511,0.0,0.001,0.41,7.064
512,0.0,0.002,0.528,7.162000000000001
513,0.0,0.003,0.485,6.782
514,0.0,0.003,0.735,6.65
515,0.0,0.003,1.08,7.9860000000000015
516,0.0,0.003,1.15,7.9460000000000015
517,0.0,0.004,1.288,8.59
518,0.0,0.055999999999999994,1.7990000000000002,8.26
519,0.0,0.076,1.796,7.749
532,0.0,0.002,0.32899999999999996,4.837
533,0.0,0.011000000000000001,0.517,8.622
534,0.0,0.035,0.73,9.006
535,0.0,0.057,0.7959999999999999,6.391
536,0.0,0.066,1.014,6.852
537,0.0,0.079,1.204,5.307
538,0.0,0.075,1.335,7.7010000000000005
539,0.0,0.078,1.4409999999999998,5.8660000000000005
550,0.0,0.002,0.01,0.096
551,0.0,0.002,0.02,0.098
552,0.0,0.001,0.021,0.11
553,0.0,0.003,0.023,0.126
554,0.0,0.018000000000000002,0.019,0.10300000000000001
555,0.0,0.028999999999999998,0.021,0.048
556,0.0,0.039,0.021,0.063
557,0.0,0.06,0.021,0.08199999999999999
558,0.0,0.147,0.021,0.145
559,0.0,0.15,0.021,0.177
580,40.92099999999999,0.001,4.2410000000000005,0.03
581,-6.6610000000000005,0.001,4.306,0.027999999999999997
582,14.054000000000002,0.001,4.877,0.032
583,-6.355,0.002,5.561,0.021
584,28.046,0.002,6.5829999999999975,0.027000000000000003
585,4.095,0.002,6.614,0.023
586,-20.186,0.002,6.108,0.023
587,-31.665999999999997,0.002,7.171,0.027999999999999997
588,-4.411,0.003,6.928,0.026000000000000002
