,fossil_prod_change_twh,solar_electricity,wind_electricity
375,8.591000000000001,1.383,1.452
376,-8.713,1.386,1.425
377,6.7520000000000024,1.403,1.504
378,-4.996,1.3430000000000002,1.318
379,-4.637,1.47,1.297
420,166.476,0.016,0.264
421,45.321000000000005,0.019,0.337
422,21.611000000000004,0.022000000000000002,0.408
423,13.20999999999999,0.023,0.826
424,82.68599999999999,0.013000000000000001,0.9540000000000001
425,10.138000000000002,0.017,1.4709999999999999
426,94.723,0.021,2.5
427,13.751,0.026000000000000002,3.0239999999999996
428,-115.18299999999999,0.035,3.7060000000000004
429,-146.951,0.10300000000000001,6.641
430,57.04600000000002,0.253,8.637
431,124.21799999999999,0.5660000000000001,10.086
432,140.584,0.872,11.198
433,171.94900000000004,1.484,17.913
434,244.38000000000002,2.099,22.315
435,66.88399999999999,2.866,26.697
436,150.85500000000002,3.992,30.623
437,246.29799999999997,3.5380000000000003,31.198
438,254.16400000000002,3.759,32.854
439,0.33500000000000796,4.272,30.531999999999996
453,0.0,0.008,0.5529999999999999
454,0.0,0.48,1.4409999999999998
455,0.0,1.238,2.112
456,0.0,2.59,2.4459999999999997
457,0.0,3.843,3.516
458,0.0,5.122000000000001,3.583
459,0.0,6.136,5.086
464,27.931,0.006999999999999999,0.052000000000000005
465,47.37100000000001,0.006999999999999999,0.049
466,53.87499999999999,0.006999999999999999,0.063
467,36.828,0.006999999999999999,0.049
468,78.946,0.006999999999999999,0.054000000000000006
469,58.12100000000001,0.006999999999999999,0.057999999999999996
470,90.129,0.008,0.039
471,167.65800000000002,0.008,0.04
472,54.759,0.008,0.055
473,27.42,0.008,0.06
474,3.7940000000000005,0.009000000000000001,0.07
475,-22.142000000000003,0.009000000000000001,0.068
476,-27.94399999999999,0.009000000000000001,0.05
477,-17.994,0.013999999999999999,0.003
478,-37.369,0.021,0.043
479,0.7680000000000007,0.132,0.06
511,0.0,0.001,0.41
512,0.0,0.002,0.528
513,0.0,0.003,0.485
514,0.0,0.003,0.735
515,0.0,0.003,1.08
516,0.0,0.003,1.15
517,0.0,0.004,1.288
518,0.0,0.055999999999999994,1.7990000000000002
519,0.0,0.076,1.796
532,0.0,0.002,0.32899999999999996
533,0.0,0.011000000000000001,0.517
534,0.0,0.035,0.73
535,0.0,0.057,0.7959999999999999
536,0.0,0.066,1.014
537,0.0,0.079,1.204
538,0.0,0.075,1.335
539,0.0,0.078,1.4409999999999998
550,0.0,0.002,0.01
551,0.0,0.002,0.02
552,0.0,0.001,0.021
553,0.0,0.003,0.023
554,0.0,0.018000000000000002,0.019
555,0.0,0.028999999999999998,0.021
556,0.0,0.039,0.021
557,0.0,0.06,0.021
558,0.0,0.147,0.021
559,0.0,0.15,0.021
570,0.0,0.006,0.032
571,0.0,0.012,0.115
572,0.0,0.022000000000000002,0.185
573,0.0,0.047,0.231
574,0.0,0.084,0.183
575,0.0,0.127,0.222
576,0.0,0.146,0.22699999999999998
577,0.0,0.172,0.21100000000000002
578,0.0,0.19899999999999998,0.221
579,0.0,0.19899999999999998,0.24
580,40.92099999999999,0.001,4.2410000000000005
581,-6.6610000000000005,0.001,4.306
582,14.054000000000002,0.001,4.877
583,-6.355,0.002,5.561
584,28.046,0.002,6.5829999999999975
585,4.095,0.002,6.614
586,-20.186,0.002,6.108
587,-31.665999999999997,0.002,7.171
588,-4.411,0.003,6.928
589,-30.484,0.004,6.721
590,-10.874,0.006,7.809
591,-30.907000000000004,0.015,9.774
592,-19.813000000000002,0.10400000000000001,10.27
593,-25.237000000000002,0.518,11.123
594,-8.144,0.596,13.079
595,-5.187,0.604,14.133
596,-9.822,0.7440000000000001,12.782
597,1.3229999999999995,0.7509999999999999,14.78
598,-20.229999999999997,0.953,13.899000000000001
