,fossil_production,gdp
246,0.0,370000000000.0
247,0.0,382000000000.0
248,0.0,392000000000.0
249,0.0,402000000000.0
250,0.0,420000000000.0
251,0.0,419000000000.0
252,0.0,430000000000.0
253,0.0,438000000000.0
254,0.0,437000000000.0
255,0.0,443000000000.0
256,0.0,448000000000.0
257,0.0,
258,0.0,
259,0.0,
260,0.455,9855690752.0
261,0.46,10586772480.0
262,0.526,11740367872.0
263,0.263,12538386432.0
264,0.0,13420641280.0
265,0.0,14225961984.0
266,0.0,14626272256.0
267,0.0,15620586496.0
268,0.0,16187101184.0
269,0.0,16326744064.0
270,0.0,16880384000.0
271,0.0,17120700416.0
272,0.0,18295693312.0
273,0.0,19378673664.0
274,0.0,21256812544.0
275,0.0,22371309568.0
276,0.0,23265005568.0
277,0.0,
278,0.0,
279,0.0,
280,31.224,24453879808.0
281,45.471000000000004,25577918464.0
282,58.25899999999999,26975635456.0
283,66.954,28345468928.0
284,94.199,30184128512.0
285,116.21600000000001,32590215168.0
286,124.45299999999999,34446999552.0
287,133.30200000000002,36591730688.0
288,137.92,41332305920.0
289,118.816,43342348288.0
290,137.145,47795335168.0
291,150.34,53944389632.0
292,171.398,57088921600.0
293,195.755,60914401280.0
294,202.768,61489704960.0
295,195.606,64471166976.0
296,187.74599999999998,67114459136.0
297,182.358,
298,170.36,
299,149.504,
300,31.639,22914473984.0
301,32.119,23051558912.0
302,21.575,24114681856.0
303,23.048000000000002,23691220992.0
304,23.985,23102699520.0
305,24.522,25861679104.0
306,25.074,28102733824.0
307,26.086,30910529536.0
308,28.754,32805036032.0
309,28.514,34366640128.0
310,27.191,34437017600.0
311,30.206,35664781312.0
312,29.646,37336076288.0
313,26.526,38494396416.0
314,26.568,39634432000.0
315,26.084,40849018880.0
316,27.6,41870385152.0
317,0.0,
318,0.0,
319,0.0,
320,6.14,15763874816.0
321,5.977,15779424256.0
322,6.225,18706720768.0
323,5.376,18380249088.0
324,5.9510000000000005,19293714432.0
325,6.434,21960869888.0
326,6.284,22822098944.0
