Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  1.1,  0.6,  0.3,  0.0,  0.1,  0.0,  0.0,  0.0,  0.0,  0.0,-,-,  0.0,  0.1,-,-,  0.0,  0.0,  0.0,-,  0.0,-,  0.0,  0.0,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  0.4,  0.3,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  10.0,  9.8,  8.6,  7.6,  6.2,  5.7,  5.7,  4.8,  4.6,  3.9,  4.0,  3.4,  3.0,  2.8,  2.6,  2.5,  2.5,  2.3,  2.1,  2.0,  2.2,  2.3,  3.0,  3.2,  3.4,  3.0,  3.2,  3.3,  3.4,  3.5,  4.4
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  17.8,  15.9,  13.6,  11.8,  1.3,  1.5,  2.1,  6.6,  8.4,  8.1,  10.1,  9.9,  10.9,  11.2,  11.3,  12.0,  13.5,  14.1,  15.4,  15.4,  15.7,  18.5,  17.2,  17.1,  14.7,  14.6,  16.8,  17.0,  17.1,  15.6,  18.1
Bulgaria,  34.5,  35.4,  35.9,  35.1,  36.4,  33.6,  34.0,  35.6,  37.2,  39.3,  39.5,  41.6,  41.2,  41.3,  43.8,  43.5,  44.6,  42.1,  42.0,  35.0,  31.0,  31.1,  32.9,  31.1,  30.7,  31.0,  32.8,  31.1,  26.2,  26.3,  29.4,  27.0,  30.3,  29.5,  28.7,  29.0,  32.3,  31.1,  26.3,  28.5,  33.6,  28.6,  24.4,  26.0,  27.1,  23.6,  25.4,  22.2,  20.4,  17.8
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  3.5,  1.6,  1.5,  1.2,  0.7,  0.8,  0.6,  1.0,  1.0,  0.9,  1.8,  1.9,  2.4,  2.6,  2.8,  2.8,  2.6,  2.8,  2.9,  2.0,  2.7,  2.8,  2.5,  2.7,  2.6,  2.4,  2.6,  1.6,  1.5,  1.7,  1.4
Cyprus,-,  0.0,-,-,-,-,-,-,-,-,-,-,-,  0.1,  0.2,  0.1,  0.4,  0.2,  0.3,  0.3,  0.3,  0.1,  0.1,  0.1,  0.1,  0.0,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.2,  0.1,  0.2,  0.1,  0.1,  0.1,  0.1,  0.0,  0.0,  0.0,  0.0,  0.0,-,  0.0,  0.1,  0.1,  0.1
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  3.6,  2.1,  1.3,  0.7,  0.7,  0.1,  0.1,  0.1,  0.1,  0.1,  0.0,  0.1,  0.1,  0.1,  0.0,  0.0,  0.0,  0.2,  0.3,  0.5,  0.1,  0.3,  0.5,  1.4,  1.2,  1.2,  1.1,  1.2,  1.3,  1.0,  0.9
Gibraltar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  159.6,  159.7,  161.4,  147.5,  139.6,  114.9,  102.6,  85.7,  86.0,  80.0,  75.1,  77.3,  81.7,  92.0,  101.1,  103.2,  107.9,  116.5,  146.6,  129.7,  138.9,  147.2,  149.1,  147.1,  137.9,  110.8,  117.8,  129.6,  135.1,  130.9,..
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  4.1,  5.2,  5.2,  5.5,  5.5,  5.3,  5.3,  5.5,  5.9,  6.7,  7.1,  6.9,  6.5,  6.7,  5.8,  6.7,  7.2,  6.0,  6.1,  6.4,  6.7
Kyrgyzstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  10.3,  9.4,  4.1,  3.6,  3.5,  1.3,  2.0,  2.1,  2.0,  2.1,  1.9,  1.3,  2.1,  2.5,  2.3,  2.2,  2.1,  2.4,  3.4,  2.9,  2.9,  3.1,  4.3,  3.4,  4.3,  4.4,  3.6,  3.6,  4.4,  4.3,..
Malta,-,-,-,-,-,-,-,-,-,-,-,  0.1,  0.1,  0.2,  0.5,  0.3,  0.4,  0.6,  0.7,  0.7,  0.6,  0.5,  0.7,  0.5,  0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x
Republic of Moldova,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  8.0,  7.2,  4.3,  4.0,  3.9,  2.4,  2.1,  1.1,  1.0,  0.6,  0.5,  0.4,  0.5,  0.6,  0.3,  0.5,  0.4,  0.3,  0.4,  0.4,  0.4,  0.4,  0.5,  0.6,  0.4,  0.4,  0.3,  0.4,  0.4,  0.4,  0.3
Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  1.2,  1.4,  1.1,  1.6,  0.9,  1.8,  1.8,  1.6,  1.6,  1.5,  1.6,  1.3,  1.3,  1.5,  1.6,..
Republic of North Macedonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  5.6,  5.7,  5.6,  5.6,  5.9,  6.1,  6.3,  5.8,  7.1,  6.2,  5.7,  6.3,  5.5,  6.2,  5.9,  6.2,  6.0,  6.2,  6.3,  5.7,  5.5,  6.3,  5.9,  4.9,  4.6,  4.1,  3.7,  4.1,  3.6,  4.3,  3.7
Romania,  32.8,  33.9,  37.1,  39.5,  39.9,  41.6,  41.1,  46.6,  50.0,  51.2,  54.0,  51.4,  59.4,  57.7,  60.2,  61.1,  66.0,  73.9,  70.7,  51.1,  42.0,  43.9,  39.7,  39.7,  41.5,  41.7,  35.9,  30.2,  26.2,  29.6,  31.7,  31.7,  35.1,  34.1,  35.0,  39.2,  39.4,  38.6,  31.5,  29.8,  34.8,  32.0,  25.2,  24.9,  26.1,  23.4,  23.0,  22.0,  21.3,  16.0
Russian Federation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  714.8,  664.8,  592.3,  521.6,  475.3,  488.5,  486.0,  417.9,  404.9,  431.6,  447.8,  443.7,  433.4,  432.7,  417.5,  416.2,  438.3,  421.9,  429.4,  377.4,  407.0,  427.1,  438.1,  416.6,  385.1,  413.6,  398.6,  391.1,  428.9,  433.1,  421.0
Serbia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  42.4,  36.5,  37.3,  34.6,  31.7,  37.1,  38.5,  39.6,  43.0,  31.7,  36.0,  34.7,  36.8,  39.4,  41.0,  34.3,  35.6,  33.7,  34.4,  32.7,  32.6,  36.9,  32.1,  33.3,  26.6,  32.6,  33.4,  33.5,  31.9,  31.7,  32.6
Tajikistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  2.6,  1.7,  1.1,  0.5,  0.1,  0.1,  0.0,  0.1,  0.1,  0.0,  0.1,  0.0,  0.1,  0.1,  0.2,  0.2,  0.2,  0.3,  0.4,  0.4,  0.4,  0.4,  0.8,  1.0,  1.6,  1.9,  3.2,  3.6,  4.0,  4.3,..
Turkmenistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  1.2,  1.2,  1.1,  0.2,-,-,  0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Ukraine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  296.2,  258.4,  256.4,  226.3,  180.2,  168.5,  131.6,  125.1,  125.3,  123.2,  121.8,  123.0,  127.0,  144.0,  129.6,  119.6,  139.2,  151.3,  145.6,  124.9,  133.5,  145.5,  150.2,  149.3,  134.8,  105.1,  113.0,  89.5,  98.1,  92.0,  87.0
Uzbekistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  14.1,  14.7,  10.4,  8.0,  8.0,  4.5,  4.9,  4.1,  4.3,  4.3,  4.6,  4.0,  4.3,  3.3,  4.5,  4.3,  4.7,  4.2,  5.2,  5.0,  4.3,  4.6,  5.8,  8.6,  7.9,  6.2,  7.4,  7.0,  8.6,  8.6,..
Former Soviet Union (if no detail),  891.2,  934.3,  981.8, 1 011.7, 1 047.0, 1 063.3, 1 061.7, 1 120.2, 1 126.2, 1 145.7, 1 063.1, 1 038.9, 1 015.7, 1 005.9,  995.3, 1 015.9, 1 065.0, 1 083.5, 1 078.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Former Yugoslavia (if no detail),  37.0,  35.4,  38.1,  39.3,  42.1,  41.1,  42.0,  43.8,  43.9,  43.9,  55.9,  59.9,  67.1,  70.8,  74.5,  75.9,  70.3,  71.3,  74.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Non-OECD Europe and Eurasia,  996.7, 1 040.3, 1 094.3, 1 127.2, 1 167.0, 1 181.2, 1 180.5, 1 248.4, 1 260.2, 1 282.7, 1 215.3, 1 194.9, 1 186.8, 1 179.6, 1 178.2, 1 200.6, 1 250.6, 1 275.5, 1 270.1, 1 380.7, 1 264.8, 1 175.3, 1 047.1,  928.7,  903.9,  855.3,  762.8,  749.2,  745.2,  769.5,  772.6,  771.8,  808.8,  788.5,  774.3,  828.0,  834.7,  869.7,  764.9,  813.9,  873.0,  878.9,  847.4,  783.6,  762.1,  760.4,  741.9,  791.0,  781.8,..
Algeria,  0.4,  0.4,  0.4,  0.3,  0.3,  0.3,  0.4,  0.3,  0.4,  0.2,  0.3,  1.2,  1.0,  1.0,  1.0,  1.3,  1.4,  1.4,  1.2,  1.3,  1.3,  1.4,  1.2,  1.4,  1.4,  1.0,  0.5,  0.8,  1.1,  0.7,  0.7,  0.8,  1.0,  1.4,  1.1,  1.0,  1.2,  1.2,  0.8,  0.8,  0.6,  0.6,  0.4,  0.2,  0.3,-,  0.5,  0.8,  0.5,..
Angola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Benin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.2,  0.1,  0.2,  0.2,-,  0.3,  0.1
Botswana,-,  0.0,  0.0,  0.1,  0.2,  0.5,  0.7,  0.7,  0.8,  0.8,  0.9,  1.0,  1.0,  0.9,  1.0,  1.2,  1.2,  1.4,  1.5,  1.8,  1.8,  2.0,  2.0,  2.0,  2.0,  1.7,  1.8,  2.3,  2.3,  2.3,  2.0,  2.1,  1.9,  2.0,  2.3,  1.9,  2.0,  1.8,  1.7,  0.7,  1.2,  0.6,  2.4,  3.9,  3.9,  3.8,  4.5,  4.4,  4.3,..
Cameroon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Congo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Côte d'Ivoire,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Dem. Rep. of Congo,  1.0,  1.0,  0.9,  0.9,  0.8,  0.9,  0.9,  0.9,  0.8,  0.9,  0.9,  0.9,  0.8,  0.9,  0.9,  0.9,  0.9,  0.9,  0.9,  0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Egypt,  1.4,  1.3,  1.1,  1.9,  2.3,  2.2,  2.6,  2.4,  2.7,  2.2,  2.8,  2.9,  2.8,  2.8,  2.9,  3.0,  3.0,  3.3,  3.2,  2.9,  3.4,  3.5,  4.2,  3.6,  3.0,  3.2,  3.3,  3.4,  3.0,  3.5,  3.3,  3.6,  3.7,  3.8,  3.7,  3.3,  3.0,  2.7,  2.4,  2.3,  1.9,  1.8,  1.8,  1.6,  1.5,  0.7,  6.4,  12.6,  10.6,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Ethiopia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.1,  0.1,  0.4,  0.6,  0.7,  1.0,  1.0,  1.3,  1.4,  1.0,  1.1,..
Gabon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Ghana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x
Kenya,  0.2,  0.1,  0.2,  0.2,  0.1,  0.2,  0.2,  0.1,  0.0,  0.0,  0.2,  0.1,  0.1,  0.2,  0.2,  0.2,  0.2,  0.3,  0.3,  0.4,  0.4,  0.4,  0.3,  0.3,  0.4,  0.4,  0.4,  0.3,  0.3,  0.3,  0.3,  0.4,  0.4,  0.4,  0.4,  0.5,  0.4,  0.4,  0.4,  0.7,  0.9,  0.8,  1.2,  1.9,  2.0,  1.9,  1.8,  1.0,  6.0,..
Libya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Mauritius,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.1,  0.1,  0.1,  0.1,  0.1,  0.2,  0.1,  0.1,  0.1,  0.2,  0.2,  0.2,  0.1,  0.1,  0.2,  0.3,  0.6,  0.7,  0.8,  0.8,  0.7,  0.9,  1.2,  1.4,  1.6,  1.5,  1.6,  1.6,  1.7,  1.7,  1.8,  1.8,  1.8,  1.9,  1.8,  1.6,  1.6
Morocco,  1.2,  1.5,  1.5,  1.5,  1.7,  1.9,  1.9,  1.9,  1.4,  1.6,  1.8,  1.7,  2.3,  2.3,  2.7,  3.5,  4.1,  4.0,  4.3,  4.2,  4.7,  4.0,  4.1,  4.5,  6.9,  8.0,  8.0,  8.9,  8.5,  10.6,  13.4,  13.7,  12.8,  12.2,  12.5,  12.9,  12.5,  11.7,  10.8,  11.1,  12.0,  12.0,  11.8,  16.1,  17.7,  17.0,  17.7,  20.5,  26.5,  26.6
Mozambique,  1.5,  1.3,  1.4,  1.3,  1.2,  1.2,  0.7,  0.6,  0.5,  0.7,  0.7,  0.6,  0.4,  0.3,  0.3,  0.2,  0.1,  0.2,  0.2,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.0,  0.0,-,-,-,-,-,  0.0,  0.0,  0.1,  0.0,..
Namibia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  0.0,  0.0,  0.2,  0.2,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,-,  0.0,  0.0,  0.0,  0.1,  0.2,  0.2,  0.1,  0.0,  0.0,  0.1,  0.1,-,  0.0,  0.1,  0.1,  0.0,  0.1,..
Niger,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.1,  0.2,  0.1,  0.1,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.3,  0.3,  0.3,  0.3,  0.3,  0.3,  0.3,  0.3,  0.3,  0.3,..
Nigeria,  0.5,  0.7,  0.7,  0.6,  0.6,  0.6,  0.6,  0.6,  0.5,  0.5,  0.4,  0.2,  0.2,  0.2,  0.3,  0.4,  0.3,  0.2,  0.2,  0.2,  0.2,  0.1,  0.0,  0.1,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.1,  0.0,  0.0,  0.0,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,..
Senegal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.3,  0.4,  0.4,  0.5,  0.5,  0.6,  0.7,  1.0,  0.9,  0.9,  1.2,  1.5,  1.8,  1.3,  1.7,  1.7,..
South Africa,  130.7,  134.3,  147.0,  154.7,  170.2,  183.7,  184.3,  160.4,  167.0,  175.9,  185.3,  182.2,  173.9,  183.7,  187.4,  184.4,  197.7,  194.1,  196.5,  202.2,  197.0,  194.6,  202.4,  205.9,  213.2,  223.1,  236.2,  244.0,  225.8,  233.0,  268.2,  277.6,  297.6,  322.9,  317.6,  318.4,  331.6,  363.9,  341.9,  359.8,  337.0,  355.1,  360.5,  374.2,  346.4,  350.5,  356.1,  353.6,  357.7,..
South Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,..
Sudan,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
United Rep. of Tanzania,-,-,-,-,-,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.2,  0.2,  0.2,  0.2,  0.1,  0.2,  0.1,  0.0,  0.1,  0.0,-,-,  0.2,  0.2,  0.2,  0.6,  0.6,  0.7,  1.4,  1.5,  1.8,..
Togo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Tunisia,  0.3,  0.4,  0.3,  0.5,  0.4,  0.3,  0.3,  0.4,  0.4,  0.3,  0.3,  0.2,  0.2,  0.3,  0.3,  0.3,  0.3,  0.3,  0.4,  0.3,  0.3,  0.3,  0.3,  0.3,  0.3,  0.3,  0.3,  0.2,  0.4,  0.3,  0.3,  0.3,  0.1,-,-,-,-,-,-,-,  0.1,  0.1,-,-,-,-,-,-,-,..
Zambia,  2.0,  2.3,  2.2,  1.9,  1.9,  1.8,  1.6,  1.6,  1.3,  1.5,  1.2,  1.3,  1.1,  1.1,  1.1,  1.2,  1.0,  1.2,  1.1,  0.9,  0.9,  0.9,  0.8,  0.4,  0.3,  0.4,  0.5,  0.5,  0.3,  0.3,  0.3,  0.3,  0.4,  0.3,  0.3,  0.1,  0.0,  0.0,  0.0,  0.0,  0.0,  0.3,  0.4,  0.4,  0.4,  0.8,  1.9,  2.8,  2.3,..
Zimbabwe,  5.8,  5.2,  6.2,  6.0,  5.3,  6.4,  5.3,  5.4,  5.6,  6.3,  6.2,  6.3,  6.1,  6.5,  7.8,  9.0,  12.3,  11.9,  12.4,  13.8,  15.4,  15.4,  13.8,  12.2,  11.6,  11.1,  10.0,  10.2,  10.8,  10.5,  10.8,  9.7,  8.0,  7.8,  8.3,  7.7,  7.8,  5.9,  5.9,  7.4,  7.8,  7.5,  7.7,  7.8,  8.2,  7.2,  6.4,  7.6,  7.4,..
Other Africa,  0.1,  0.1,  0.1,  0.1,  0.2,  0.5,  0.5,  0.4,  0.5,  0.6,  0.5,  0.6,  0.4,  0.4,  0.5,  0.5,  0.5,  0.5,  0.5,  1.7,  1.7,  1.8,  1.7,  2.1,  2.0,  2.1,  2.5,  2.7,  2.7,  2.8,  3.0,  2.9,  2.8,  2.7,  3.2,  3.4,  3.7,  3.8,  3.7,  3.9,  3.3,  3.5,  3.5,  3.0,  2.8,  2.8,  3.4,  3.5,  3.7,..
Africa,  145.2,  148.6,  162.1,  169.9,  185.3,  200.5,  199.9,  175.6,  182.1,  191.5,  201.6,  199.1,  190.6,  200.9,  206.7,  206.3,  223.5,  219.8,  223.1,  231.2,  227.6,  225.0,  231.9,  233.6,  241.9,  251.8,  263.8,  273.8,  255.9,  265.3,  303.5,  312.7,  329.8,  355.0,  351.0,  351.3,  364.8,  394.2,  370.2,  389.6,  368.4,  386.0,  393.5,  414.3,  388.5,  391.0,  405.3,  413.4,  426.0,..
Bangladesh,  0.4,  0.4,  0.5,  0.4,  0.5,  0.5,  0.5,  0.5,  0.4,  0.5,  0.5,  0.6,  0.4,  0.1,  0.2,  0.3,  0.5,  0.5,  0.5,  1.1,  0.4,  0.3,  0.1,  0.1,  1.3,  0.7,  1.3,  0.4,  0.2,  1.3,  1.4,  1.4,  1.4,  1.4,  1.9,  1.9,  2.5,  2.6,  3.1,  3.2,  2.9,  3.6,  3.9,  3.7,  9.1,  6.4,  7.9,  8.8,  15.8,..
Brunei Darussalam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.7,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.1,  0.1,  0.2,  0.2,  1.3,  2.3,  3.1,  3.7,  3.9,  4.4,..
DPR of Korea,  67.2,  68.6,  69.8,  72.0,  75.0,  80.5,  85.7,  89.1,  94.9,  100.9,  104.4,  109.9,  114.6,  117.9,  123.1,  121.3,  115.4,  117.0,  116.0,  109.8,  105.7,  93.7,  86.2,  79.6,  73.3,  63.4,  62.3,  56.2,  63.0,  67.5,  69.5,  66.2,  67.8,  69.3,  73.2,  75.1,  61.2,  68.3,  50.8,  47.2,  32.3,  33.8,  22.6,  26.3,  19.7,  24.3,  49.6,  45.8,  51.1,..
India,  128.2,  131.5,  130.1,  145.9,  158.3,  171.1,  171.0,  159.7,  173.9,  183.3,  206.2,  219.9,  234.4,  254.3,  263.8,  289.0,  309.3,  326.2,  346.4,  367.8,  401.1,  417.5,  436.2,  455.0,  480.6,  500.0,  525.0,  521.7,  558.2,  575.3,  589.0,  605.8,  615.9,  676.2,  714.4,  762.5,  843.6,  915.7, 1 023.3, 1 095.8, 1 165.5, 1 295.5, 1 353.4, 1 494.9, 1 454.8, 1 446.2, 1 537.3, 1 648.2, 1 638.8,..
Indonesia,  0.5,  0.5,  0.3,  0.4,  0.5,  0.4,  0.5,  0.5,  0.5,  0.6,  0.5,  0.5,  0.4,  0.2,  5.2,  9.6,  11.6,  12.3,  14.4,  15.6,  17.3,  17.8,  17.7,  19.8,  22.5,  25.4,  30.0,  33.9,  42.8,  52.4,  60.4,  62.3,  83.6,  76.8,  87.8,  105.4,  130.8,  117.6,  119.8,  142.7,  169.2,  151.5,  115.4,  145.9,  160.4,  175.0,  195.5,  224.6,  277.5,  328.4
Lao People's Democratic Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  0.0,  0.0,  0.1,  0.1,  0.1,  0.1,  0.2,  0.2,  0.3,  0.3,  0.6,  0.7,  0.7,  1.1,  1.1,  4.9,  11.3,  14.4,  14.6,  14.6,..
Malaysia,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.1,  0.2,  0.4,  0.4,  1.0,  1.1,  1.4,  1.1,  1.3,  1.0,  4.8,  5.3,  6.2,  6.5,  5.5,  6.1,  6.6,  6.7,  6.5,  6.9,  7.7,  9.9,  12.0,  14.5,  21.2,  26.4,  27.4,  28.2,  35.2,  39.0,  41.6,  58.8,  58.8,  63.2,  60.0,  61.1,  69.3,  75.2,  82.7,  88.7,  92.5,..
Mongolia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  9.7,  10.7,  11.4,  12.1,  11.6,  10.6,  13.1,  11.6,  10.3,  9.3,  9.3,  7.6,  7.5,  7.4,  7.4,  7.7,  7.7,  8.2,  7.8,  7.9,  9.4,  10.6,  10.7,  10.4,  11.4,  11.8,  12.7,  13.6,  14.8,  14.6,  13.8,  15.2,  15.6,  17.3,  17.7,..
Myanmar,  0.6,  0.4,  0.2,  0.4,  0.6,  0.5,  0.6,  0.6,  0.6,  0.6,  0.7,  0.7,  0.6,  0.6,  0.6,  0.7,  0.3,  0.2,  0.2,  0.3,  0.3,  0.2,  0.1,  0.1,  0.1,  0.0,  0.1,  0.1,  0.4,  1.3,  1.5,  1.1,  2.0,  1.0,  1.3,  1.6,  1.8,  1.5,  1.5,  1.7,  1.6,  1.9,  1.5,  1.6,  1.8,  1.4,  2.6,  3.0,  4.0,..
Nepal,  0.0,  0.1,  0.2,  0.2,  0.1,  0.0,  0.0,  0.0,  0.2,  0.2,  0.1,  0.2,  0.3,  0.3,  0.0,  0.2,  0.2,  0.2,  0.0,  0.2,  0.2,  0.1,  0.1,  0.3,  0.3,  0.2,  0.2,  0.2,  1.0,  1.0,  1.2,  0.5,  0.7,  0.6,  1.0,  0.6,  0.8,  0.7,  0.7,  1.2,  1.4,  1.7,  1.3,  1.9,  2.2,  2.8,  3.2,  4.0,  3.2,..
Pakistan,  2.6,  2.5,  2.3,  2.2,  2.3,  2.0,  2.2,  2.1,  2.4,  2.7,  3.2,  3.9,  3.6,  4.0,  5.1,  5.3,  5.5,  6.2,  6.0,  7.4,  6.9,  7.2,  7.7,  7.1,  8.1,  7.5,  7.1,  7.5,  7.1,  7.0,  7.7,  8.8,  12.2,  15.0,  14.7,  17.0,  22.3,  17.8,  17.6,  16.5,  16.3,  14.6,  13.9,  18.9,  20.1,  24.8,  40.3,  48.7,  49.2,..
