Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,  68.4,  78.2,  83.2,  86.2,  87.9,  89.9,  95.0,  91.4,  95.3,  96.7,  94.3,  95.8,  93.9,  101.0,  108.8,  107.8,  106.8,  117.9,  122.8,  119.3,  119.2,  125.5,  131.1,  138.1,  143.6,  150.8,  151.5,  146.5,  153.7,  162.8,  156.4,  164.4,  172.4,  166.8,  167.4,  165.2,  176.0,  174.4,  169.2,  171.7,  189.2,  192.1,  203.2,  214.4,  212.6,  213.6,  217.2,  234.2,  235.6,  225.8
Chile,  1.3,  1.2,  0.9,  1.0,  1.1,  1.2,  1.3,  1.2,  1.4,  1.4,  1.4,  1.5,  1.6,  1.6,  1.6,  1.5,  1.4,  2.0,  3.1,  0.9,  1.0,  1.0,  0.9,  1.0,  1.0,  1.0,  1.9,  3.3,  4.3,  6.7,  8.5,  8.3,  9.9,  11.2,  10.6,  8.5,  5.1,  3.4,  4.6,  8.7,  10.2,  9.0,  9.2,  7.7,  8.3,  8.7,  9.2,  9.2,  10.4,  10.9
Mexico,  19.6,  21.0,  23.5,  24.6,  24.5,  23.6,  24.8,  30.7,  38.2,  40.5,  42.6,  48.7,  48.7,  49.1,  50.6,  44.9,  44.5,  45.1,  43.0,  48.4,  52.2,  53.0,  55.2,  57.3,  56.4,  61.1,  65.4,  75.6,  72.2,  82.1,  83.1,  93.6,  104.7,  109.6,  109.3,  120.6,  124.3,  130.8,  130.8,  135.3,  140.3,  146.9,  140.8,  138.6,  144.4,  146.4,  150.3,  146.7,  139.5,  162.3
United States, 1 197.8, 1 210.1, 1 200.1, 1 158.6, 1 063.4, 1 084.7, 1 062.5, 1 066.3, 1 101.7, 1 087.2, 1 062.4,  986.6,  925.3,  986.6,  950.8,  890.8,  942.7,  989.7, 1 034.2,  996.5, 1 015.6, 1 043.6, 1 079.5, 1 102.4, 1 146.0, 1 169.5, 1 206.5, 1 186.8, 1 192.5, 1 236.2, 1 183.7, 1 222.8, 1 192.2, 1 197.9, 1 182.5, 1 168.0, 1 245.4, 1 250.1, 1 223.4, 1 289.1, 1 305.6, 1 363.1, 1 387.9, 1 414.8, 1 461.7, 1 472.2, 1 439.0, 1 603.2, 1 662.7, 1 618.2
OECD Americas, 1 289.7, 1 313.7, 1 311.0, 1 273.9, 1 180.3, 1 202.9, 1 187.5, 1 194.5, 1 241.8, 1 231.6, 1 207.0, 1 139.2, 1 076.9, 1 145.6, 1 119.2, 1 052.4, 1 103.1, 1 162.3, 1 210.5, 1 172.8, 1 195.8, 1 230.8, 1 274.6, 1 306.7, 1 355.4, 1 391.5, 1 436.8, 1 425.5, 1 434.2, 1 500.7, 1 445.4, 1 502.7, 1 492.3, 1 499.2, 1 484.1, 1 476.8, 1 565.1, 1 574.1, 1 545.5, 1 623.5, 1 662.9, 1 729.3, 1 760.0, 1 794.8, 1 846.9, 1 861.7, 1 834.8, 2 013.1, 2 066.1, 2 031.7
Australia,  4.0,  5.8,  7.1,  7.8,  8.7,  9.7,  11.5,  12.6,  14.1,  16.3,  18.9,  20.8,  20.8,  22.3,  23.8,  26.1,  26.9,  28.2,  29.1,  32.3,  30.6,  31.9,  33.3,  34.8,  37.4,  37.7,  38.0,  39.7,  41.5,  43.7,  46.1,  50.7,  46.4,  47.9,  47.8,  48.6,  55.6,  57.4,  59.7,  61.0,  61.9,  64.9,  65.5,  66.6,  67.3,  69.3,  71.9,  74.2,  76.6,  86.6
Israel,  0.0,  0.0,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.3,  3.2,  4.5,  5.5,  6.9,  8.5,  10.2,  9.5,  4.9,  13.6,  15.5,  16.4,  18.6,  20.0,  18.2,  18.2,  19.0
Japan,  8.6,  8.7,  13.7,  17.5,  19.3,  23.0,  28.2,  38.5,  45.4,  51.6,  52.8,  53.5,  57.1,  76.7,  82.0,  83.5,  86.2,  90.4,  96.6,  111.7,  119.7,  121.1,  124.0,  130.2,  134.9,  140.7,  145.4,  149.2,  158.2,  163.1,  162.5,  166.5,  171.9,  170.9,  169.7,  186.5,  202.6,  198.5,  196.4,  207.1,  241.4,  250.6,  249.9,  252.0,  240.0,  245.3,  239.3,  229.4,  219.9,  229.6
Korea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.1,  4.4,  5.7,  5.6,  6.4,  7.4,  9.7,  12.1,  16.1,  19.5,  25.8,  31.3,  29.3,  35.9,  40.2,  44.0,  49.2,  51.3,  60.4,  64.3,  68.7,  73.9,  75.5,  72.7,  91.5,  98.6,  106.8,  111.0,  100.1,  93.6,  99.3,  103.0,  114.3,  110.3,  115.2
New Zealand,  0.2,  0.5,  0.6,  0.6,  0.6,  1.8,  3.1,  3.0,  2.1,  1.9,  2.2,  3.9,  4.0,  4.3,  5.3,  4.6,  4.8,  4.9,  5.0,  6.6,  7.3,  7.7,  7.5,  7.0,  6.4,  7.4,  8.6,  7.4,  8.4,  8.7,  9.7,  9.0,  7.6,  6.5,  6.9,  6.8,  7.7,  6.9,  6.7,  7.5,  6.8,  7.0,  7.4,  7.5,  7.1,  6.9,  7.4,  6.4,  7.1,  6.7
OECD Asia Oceania,  12.9,  15.1,  21.4,  26.0,  28.6,  34.6,  42.8,  54.1,  61.6,  69.7,  73.9,  78.2,  81.8,  103.3,  111.1,  114.4,  122.2,  129.2,  136.3,  157.0,  165.1,  170.5,  177.0,  188.1,  198.3,  211.6,  223.4,  225.6,  244.0,  255.7,  262.4,  275.4,  277.2,  288.0,  291.8,  315.2,  345.2,  345.3,  343.9,  377.2,  418.1,  434.3,  447.4,  441.7,  424.4,  439.5,  441.6,  442.5,  432.1,  457.2
Austria,  5.4,  6.0,  6.5,  7.2,  7.1,  8.2,  8.3,  8.7,  8.8,  8.3,  7.8,  7.6,  7.7,  8.7,  9.5,  9.4,  9.8,  9.3,  10.0,  11.5,  12.1,  12.2,  12.6,  13.3,  14.5,  15.5,  14.9,  15.4,  15.6,  14.7,  15.9,  15.8,  17.0,  17.4,  18.3,  17.0,  16.1,  17.0,  16.5,  18.2,  17.2,  16.5,  15.9,  14.4,  15.5,  16.2,  17.5,  16.7,  17.2,  16.4
Belgium,  11.3,  14.4,  15.2,  18.0,  17.4,  19.0,  18.7,  18.6,  20.7,  19.7,  17.9,  14.6,  15.6,  16.2,  16.2,  14.5,  16.3,  15.8,  17.8,  18.4,  19.6,  19.8,  20.8,  21.3,  23.4,  26.2,  24.9,  27.7,  29.3,  29.6,  29.6,  30.5,  32.2,  32.7,  32.0,  33.1,  33.1,  33.0,  33.7,  37.2,  31.6,  32.0,  32.0,  27.9,  30.4,  31.2,  31.6,  32.8,  33.3,  33.1
Czech Republic,  1.9,  2.0,  2.2,  2.7,  3.1,  3.4,  3.9,  4.4,  4.9,  5.7,  5.7,  6.0,  7.0,  7.5,  9.2,  9.7,  10.6,  10.8,  11.1,  11.5,  11.4,  12.7,  12.8,  12.8,  14.6,  17.0,  17.5,  17.4,  17.6,  17.1,  18.4,  17.8,  18.1,  18.1,  17.9,  17.6,  16.6,  16.3,  15.3,  17.4,  15.9,  15.6,  15.9,  14.0,  14.8,  16.0,  16.5,  15.6,  16.4,  16.7
Denmark,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.1,  0.3,  1.5,  2.6,  3.3,  3.7,  3.9,  4.2,  4.7,  5.0,  5.7,  6.4,  7.4,  8.7,  9.2,  10.0,  10.5,  10.5,  10.9,  10.9,  11.0,  11.0,  10.5,  10.7,  9.6,  9.7,  9.3,  10.4,  8.8,  8.2,  7.8,  6.7,  6.9,  7.0,  6.9,  6.8,  6.5,  5.2
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  2.4,  2.5,  1.5,  0.8,  0.9,  1.1,  1.2,  1.2,  1.1,  1.1,  1.3,  1.4,  1.3,  1.5,  1.6,  1.6,  1.6,  1.6,  1.5,  1.2,  1.3,  1.2,  1.3,  1.1,  1.0,  0.9,  1.0,  1.0,  1.0,  0.9,  0.8
Finland,-,-,-,  0.9,  1.5,  1.7,  1.8,  1.9,  1.9,  1.7,  1.4,  1.3,  1.3,  1.5,  1.9,  2.3,  3.1,  3.3,  4.3,  5.1,  5.4,  5.6,  5.8,  6.3,  6.6,  6.9,  6.8,  7.8,  7.8,  8.0,  8.6,  8.6,  9.5,  9.2,  8.4,  9.0,  8.3,  8.5,  7.6,  8.3,  7.3,  6.5,  6.0,  5.4,  4.6,  4.1,  3.7,  4.3,  4.1,  4.1
France,  17.8,  22.0,  25.7,  27.7,  30.8,  34.6,  36.1,  38.5,  43.8,  44.3,  45.7,  44.4,  46.7,  48.8,  51.2,  52.2,  53.0,  51.4,  53.0,  53.5,  61.0,  61.6,  62.0,  61.6,  62.9,  69.8,  69.0,  70.8,  74.8,  78.1,  82.8,  83.3,  87.0,  88.8,  91.7,  89.8,  86.5,  89.6,  88.8,  94.8,  86.0,  88.9,  89.6,  74.4,  79.5,  87.4,  87.3,  83.1,  84.8,  78.9
Germany,  38.5,  50.2,  65.1,  80.6,  84.4,  90.0,  96.4,  103.6,  112.3,  111.8,  107.8,  100.4,  102.6,  103.0,  101.3,  103.2,  111.9,  111.3,  114.4,  115.5,  124.0,  122.9,  129.4,  135.7,  145.3,  162.8,  155.4,  156.6,  158.1,  156.3,  163.4,  163.2,  166.5,  167.2,  169.0,  172.4,  166.4,  173.3,  161.4,  177.1,  160.2,  161.4,  164.0,  147.6,  152.5,  167.3,  170.5,  171.5,  170.1,  170.6
Greece,-,-,-,-,-,-,-,-,-,-,-,  0.1,  0.1,  0.1,  0.0,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.3,  1.2,  2.5,  3.7,  3.8,  4.1,  4.5,  4.9,  5.2,  6.1,  7.5,  7.9,  6.3,  6.7,  8.2,  7.5,  6.8,  5.0,  5.4,  7.8,  8.9,  8.4,  9.4,  10.2
Hungary,  6.0,  6.6,  8.0,  9.0,  9.7,  11.5,  12.6,  13.9,  14.9,  16.3,  16.8,  17.7,  17.7,  18.1,  18.0,  19.3,  19.3,  19.1,  19.9,  19.1,  19.5,  16.9,  18.3,  18.4,  19.9,  22.4,  21.5,  21.5,  21.9,  21.2,  23.6,  24.1,  26.4,  25.7,  26.7,  25.3,  23.8,  23.5,  20.4,  21.4,  20.3,  18.0,  17.0,  15.5,  16.6,  17.8,  18.8,  18.1,  18.3,  19.0
Iceland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ireland,-,-,-,-,-,-,-,-,  1.1,  1.7,  2.6,  3.9,  4.0,  4.2,  4.5,  2.2,  2.2,  2.8,  3.3,  3.3,  3.4,  3.4,  4.1,  4.0,  4.4,  5.2,  5.3,  5.4,  6.0,  7.1,  7.3,  7.7,  8.5,  8.5,  8.0,  9.1,  9.8,  10.3,  9.9,  10.8,  9.4,  9.1,  8.8,  8.4,  8.5,  9.7,  10.0,  10.4,  10.5,  10.5
Italy,  24.1,  27.9,  31.6,  35.5,  41.1,  49.9,  51.0,  45.3,  47.0,  46.5,  45.8,  46.5,  48.1,  56.3,  57.2,  60.9,  68.8,  75.0,  81.5,  87.3,  92.4,  90.9,  95.1,  92.2,  102.1,  105.8,  109.1,  117.9,  127.9,  133.4,  134.0,  133.4,  146.8,  151.9,  162.8,  159.5,  160.5,  161.2,  148.2,  157.7,  148.4,  142.6,  133.1,  117.6,  128.3,  134.6,  142.6,  138.0,  141.3,  135.6
Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  5.6,  5.6,  4.0,  2.6,  1.9,  2.3,  2.0,  2.4,  2.4,  2.3,  2.5,  2.9,  3.0,  3.1,  3.1,  3.2,  3.3,  3.2,  3.1,  2.9,  3.4,  3.0,  2.8,  2.8,  2.5,  2.6,  2.6,  2.3,  2.7,  2.6,  2.1
Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  9.4,  9.6,  5.6,  3.1,  3.2,  3.5,  3.7,  3.5,  2.9,  3.0,  3.5,  3.5,  3.6,  4.0,  4.2,  4.6,  4.4,  4.3,  4.0,  3.9,  4.7,  4.1,  3.9,  3.3,  2.8,  2.6,  2.4,  2.2,  2.2,  2.1,  2.3
Luxembourg,  0.0,  0.3,  0.5,  0.7,  0.8,  0.9,  1.0,  1.1,  1.1,  1.0,  0.8,  0.6,  0.6,  0.7,  0.7,  0.7,  0.8,  0.8,  1.0,  1.0,  1.0,  1.1,  1.1,  1.1,  1.3,  1.4,  1.5,  1.5,  1.5,  1.6,  1.8,  2.5,  2.5,  2.8,  2.8,  2.9,  2.7,  2.6,  2.6,  2.8,  2.4,  2.5,  2.1,  2.0,  1.8,  1.7,  1.6,  1.6,  1.6,  1.5
Netherlands,  47.4,  61.6,  68.1,  72.6,  69.4,  72.3,  73.5,  73.6,  73.9,  67.2,  64.1,  62.4,  66.3,  68.8,  72.6,  72.5,  74.6,  66.9,  68.8,  69.1,  77.4,  75.3,  77.8,  74.7,  76.9,  86.1,  79.9,  79.1,  77.2,  77.2,  79.5,  78.8,  79.4,  81.3,  78.6,  75.8,  73.3,  77.1,  78.0,  87.3,  75.8,  72.4,  73.3,  63.4,  62.7,  65.8,  67.2,  66.4,  69.0,  67.8
Norway,-,-,-,  0.0,  0.4,  0.7,  1.0,  1.6,  1.5,  2.0,  2.0,  2.2,  2.7,  2.4,  2.8,  5.0,  3.5,  4.1,  4.2,  4.6,  4.5,  7.6,  8.7,  9.2,  8.1,  7.0,  9.2,  10.1,  11.2,  7.4,  8.1,  8.3,  8.9,  9.4,  9.3,  9.6,  9.9,  10.0,  11.0,  13.5,  12.4,  11.7,  11.7,  12.3,  12.7,  12.5,  12.7,  12.1,  12.1,  10.4
Poland,  10.3,  10.8,  10.7,  10.7,  11.5,  12.9,  14.0,  14.8,  15.0,  15.3,  14.7,  14.5,  14.6,  15.2,  15.6,  16.3,  16.3,  16.5,  16.2,  15.6,  14.3,  14.0,  14.1,  15.0,  15.5,  16.2,  17.3,  17.1,  17.3,  17.9,  18.9,  19.6,  20.8,  22.4,  23.2,  23.5,  23.7,  23.8,  23.8,  25.5,  25.4,  26.5,  26.5,  25.3,  26.2,  28.1,  29.7,  30.4,  31.8,  32.1
Portugal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.2,  1.4,  4.3,  4.6,  5.2,  6.4,  6.2,  7.7,  8.7,  8.3,  8.9,  9.6,  9.7,  10.5,  10.6,  9.0,  8.1,  7.6,  9.0,  9.6,  12.2,  11.2,  11.9,  11.6
Slovak Republic,  2.7,  2.9,  3.2,  3.9,  4.4,  4.9,  5.6,  6.2,  7.4,  5.0,  5.2,  5.4,  5.5,  6.3,  6.5,  6.9,  7.3,  7.2,  8.1,  11.8,  10.1,  11.1,  10.9,  10.7,  11.8,  12.5,  12.8,  13.0,  13.4,  13.2,  13.4,  12.5,  12.1,  11.5,  12.6,  11.5,  10.8,  10.8,  9.4,  10.9,  9.6,  9.2,  9.4,  7.6,  7.6,  7.8,  8.2,  8.0,  8.2,  8.1
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,  1.8,  1.7,  1.4,  1.4,  1.5,  1.5,  1.6,  1.6,  1.7,  1.7,  1.6,  1.7,  1.7,  1.8,  1.9,  1.9,  1.8,  1.8,  1.8,  1.7,  1.8,  1.7,  1.7,  1.6,  1.5,  1.6,  1.6,  1.7,  1.7,  1.7,  1.7
Spain,  0.7,  1.3,  1.9,  1.9,  1.8,  2.4,  2.3,  2.4,  3.0,  3.1,  3.7,  4.0,  4.3,  4.0,  4.6,  4.9,  5.6,  7.0,  8.7,  10.0,  10.9,  11.9,  12.3,  13.1,  16.9,  18.6,  24.8,  25.5,  29.7,  34.2,  37.2,  42.8,  48.6,  56.6,  66.9,  72.2,  73.5,  80.9,  72.2,  71.7,  66.6,  65.1,  59.2,  54.2,  56.5,  57.6,  62.4,  62.0,  71.1,  64.0
Sweden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.2,  0.5,  0.6,  0.8,  1.1,  1.3,  1.3,  1.5,  1.7,  1.7,  1.6,  1.7,  1.8,  1.8,  1.8,  1.7,  1.9,  1.9,  2.0,  1.9,  1.7,  1.8,  1.9,  1.7,  2.4,  3.0,  2.5,  2.2,  2.0,  1.7,  1.8,  1.7,  1.5,  1.5,  1.4,  1.9
Switzerland,  0.0,  0.1,  0.3,  0.5,  1.0,  1.1,  1.3,  1.5,  1.7,  1.9,  2.1,  2.2,  2.4,  2.7,  2.9,  3.0,  3.2,  3.2,  3.5,  3.8,  4.3,  4.5,  4.7,  4.6,  5.1,  5.6,  5.4,  5.5,  5.7,  5.7,  5.9,  5.8,  6.2,  6.4,  6.5,  6.4,  6.2,  6.6,  6.3,  7.1,  6.3,  6.9,  7.3,  6.3,  6.7,  7.1,  7.1,  6.8,  7.0,  6.8
Turkey,-,-,-,-,-,-,-,-,-,-,-,  0.1,  0.1,  0.1,  0.1,  0.9,  1.4,  2.4,  6.2,  6.3,  7.3,  7.7,  8.4,  9.4,  12.2,  14.9,  18.1,  19.6,  24.3,  28.9,  31.2,  33.7,  40.7,  43.0,  52.4,  60.7,  71.0,  70.3,  67.6,  73.4,  85.9,  87.0,  88.0,  93.4,  91.6,  87.6,  102.7,  93.2,  84.8,  90.1
United Kingdom,  21.7,  35.7,  46.3,  60.6,  67.7,  75.0,  79.2,  85.3,  92.0,  93.1,  94.1,  95.4,  97.7,  99.2,  106.1,  107.2,  111.8,  108.2,  102.6,  104.5,  114.7,  115.6,  128.4,  136.6,  144.9,  168.6,  172.9,  180.9,  193.1,  198.7,  200.4,  197.7,  199.0,  203.1,  197.7,  187.1,  188.8,  195.2,  181.4,  195.6,  163.0,  153.1,  152.1,  139.5,  143.3,  161.3,  157.1,  159.2,  158.1,  150.1
OECD Europe,  187.9,  241.8,  285.3,  332.5,  352.2,  388.5,  406.7,  421.3,  450.9,  444.5,  438.3,  429.5,  445.2,  464.0,  482.5,  494.2,  523.7,  519.5,  539.8,  576.5,  618.9,  613.9,  642.5,  655.8,  704.0,  781.4,  786.4,  815.4,  859.5,  879.7,  911.5,  918.9,  964.4,  992.2, 1 022.2, 1 020.6, 1 019.9, 1 049.1,  991.4, 1 072.8,  984.0,  961.6,  945.2,  858.2,  890.5,  947.3,  983.9,  965.4,  976.4,  951.8
Albania,  0.3,  0.3,  0.4,  0.4,  0.6,  0.7,  0.7,  0.7,  0.7,  0.8,  0.8,  0.8,  0.8,  0.8,  0.8,  0.8,  0.8,  0.8,  0.7,  0.5,  0.3,  0.2,  0.2,  0.1,  0.1,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  8.4,  8.3,  3.5,  1.5,  1.7,  2.7,  2.0,  2.8,  2.9,  2.3,  2.6,  2.7,  2.1,  2.3,  2.5,  3.2,  3.2,  3.9,  4.3,  3.3,  3.1,  3.8,  4.6,  4.4,  4.4,  4.3,  4.1,  4.3,  4.6,  4.9,  4.9
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  32.3,  32.2,  19.8,  16.0,  15.4,  15.5,  10.9,  10.6,  9.8,  10.5,  10.5,  15.9,  16.1,  16.6,  17.2,  17.2,  18.9,  16.8,  19.7,  16.9,  16.1,  17.7,  19.4,  19.4,  20.7,  20.2,  20.4,  19.8,  20.6,  23.2,  23.5
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  24.7,  23.6,  31.8,  30.1,  26.7,  23.7,  25.7,  30.2,  29.3,  30.3,  30.9,  31.3,  31.9,  33.2,  36.2,  36.8,  37.2,  37.7,  38.6,  31.5,  39.5,  37.2,  36.5,  36.8,  36.4,  33.9,  33.8,  34.6,  36.8,  35.2,  32.6
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  0.9,  0.9,  0.8,  0.3,  0.3,  0.3,  0.5,  0.3,  0.3,  0.3,  0.5,  0.3,  0.3,  0.4,  0.6,  0.7,  0.7,  0.8,  0.8,  0.4,  0.5,  0.5,  0.5,  0.4,  0.4,  0.4,  0.4,  0.5,  0.5,  0.4,  0.3
